Grade Level,Subject,TEK,STANDARD
High School,Algebra I,3(D),graph the solution set of linear inequalities in two variables on the coordinate plane
High School,Algebra I,3(E),"determine the effects on the graph of the parent function f(x) = x when f(x) is replaced by af(x), f(x) + d, f(x - c), f(bx) for specific values of a, b, c, and d"
High School,Algebra I,3(F),graph systems of two linear equations in two variables on the coordinate plane and determine the solutions if they exist
High School,Algebra I,3(G),estimate graphically the solutions to systems of two linear equations with two variables in real-world problems; and
High School,Algebra I,3(H),graph the solution set of systems of two linear inequalities in two variables on the coordinate plane
High School,Algebra I,4(A),"calculate, using technology, the correlation coefficient between two quantitative variables and interpret this quantity as a measure of the strength of the linear association"
High School,Algebra I,4(B),compare and contrast association and causation in real-world problems; and
High School,Algebra I,4(C),"write, with and without technology, linear functions that provide a reasonable fit to data to estimate solutions and make predictions for real-world problems"
High School,Algebra I,5(A),"solve linear equations in one variable, including those for which the application of the distributive property is necessary and for which variables are included on both sides"
High School,Algebra I,5(B),"solve linear inequalities in one variable, including those for which the application of the distributive property is necessary and for which variables are included on both sides; and"
High School,Algebra I,5(C),solve systems of two linear equations with two variables for mathematical and real-world problems
High School,Algebra I,6(A),determine the domain and range of quadratic functions and represent the domain and range using inequalities
High School,Algebra I,6(B),"write equations of quadratic functions given the vertex and another point on the graph, write the equation in vertex form (f(x) = a(x - h)2+ k), and rewrite the equation from vertex form to standard form (f(x) = ax2+ bx + c); and"
High School,Algebra I,6(C),write quadratic functions when given real solutions and graphs of their related equations
High School,Algebra I,7(A),"graph quadratic functions on the coordinate plane and use the graph to identify key attributes, if possible, including x-intercept, y-intercept, zeros, maximum value, minimum values, vertex, and the equation of the axis of symmetry"
High School,Algebra I,7(B),describe the relationship between the linear factors of quadratic expressions and the zeros of their associated quadratic functions; and
High School,Algebra I,7(C),"determine the effects on the graph of the parent function f(x) = x2 when f(x) is replaced by af(x), f(x) + d, f(x - c), f(bx) for specific values of a, b, c, and d"
High School,Algebra I,8(A),"solve quadratic equations having real solutions by factoring, taking square roots, completing the square, and applying the quadratic formula; and"
High School,Algebra I,8(B),"write, using technology, quadratic functions that provide a reasonable fit to data to estimate solutions and make predictions for real-world problems"
High School,Algebra I,9(A),determine the domain and range of exponential functions of the form f(x) = abx and represent the domain and range using inequalities
High School,Algebra I,9(B),interpret the meaning of the values of a and b in exponential functions of the form f(x) = abx in real-world problems
High School,Algebra I,9(C),"write exponential functions in the form f(x) = abx (where b is a rational number) to describe problems arising from mathematical and real-world situations, including growth and decay"
High School,Algebra I,9(D),"graph exponential functions that model growth and decay and identify key features, including y-intercept and asymptote, in mathematical and real-world problems; and"
High School,Algebra I,9(E),"write, using technology, exponential functions that provide a reasonable fit to data and make predictions for real-world problems"
High School,Algebra I,10(A),add and subtract polynomials of degree one and degree two
High School,Algebra I,10(B),multiply polynomials of degree one and degree two;
High School,Algebra I,10(C),determine the quotient of a polynomial of degree one and polynomial of degree two when divided by a polynomial of degree one and polynomial of degree two when the degree of the divisor does not exceed the degree of the dividend
High School,Algebra I,10(D),rewrite polynomial expressions of degree one and degree two in equivalent forms using the distributive property
High School,Algebra I,10(E),"factor, if possible, trinomials with real factors in the form ax2 + bx + c, including perfect square trinomials of degree two; and"
High School,Algebra I,10(F),"decide if a binomial can be written as the difference of two squares and, if possible, use the structure of a difference of two squares to rewrite the binomial"
High School,Algebra I,11(A),simplify numerical radical expressions involving square roots; and
High School,Algebra I,11(B),"simplify numeric and algebraic expressions using the laws of exponents, including integral and rational exponents"
High School,Algebra I,12(A),"decide whether relations represented verbally, tabularly, graphically, and symbolically define a function"
High School,Algebra I,12(B),"evaluate functions, expressed in function notation, given one or more elements in their domains"
High School,Algebra I,12(C),identify terms of arithmetic and geometric sequences when the sequences are given in function form using recursive processes
High School,Algebra I,12(D),"write a formula for the nth term of arithmetic and geometric sequences, given the value of several of their terms; and"
High School,Algebra I,12(E),"solve mathematic and scientific formulas, and other literal equations, for a specified variable"
High School,Algebra II,1(A),"apply mathematics to problems arising in everyday life, society, and the workplace"
High School,Algebra II,1(B),"use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution"
High School,Algebra II,1(C),"select tools, including real objects, manipulatives, paper and pencil, and technology as appropriate, and techniques, including mental math, estimation, and number sense as appropriate, to solve problems"
High School,Algebra II,1(D),"communicate mathematical ideas, reasoning, and their implications using multiple representations, including symbols, diagrams, graphs, and language as appropriate"
High School,Algebra II,1(E),"create and use representations to organize, record, and communicate mathematical ideas"
High School,Algebra II,1(F),analyze mathematical relationships to connect and communicate mathematical ideas; and
High School,Algebra II,1(G),"display, explain, or justify mathematical ideas and arguments using precise mathematical language in written or oral communication"
High School,Algebra II,2(A),"graph the functions f(x)=√x, f(x)=1/x, f(x)=x3, f(x)= 3√x, f(x)=bx, f(x)=|x|, and f(x)=logb (x) where b is 2, 10, and e, and, when applicable, analyze the key attributes such as domain, range, intercepts, symmetries, asymptotic behavior, and maximum and minimum given an interval"
High School,Algebra II,2(B),graph and write the inverse of a function using notation such as f -1 (x)
High School,Algebra II,2(C),"describe and analyze the relationship between a function and its inverse (quadratic and square root, logarithmic and exponential), including the restriction(s) on domain, which will restrict its range; and"
High School,Algebra II,2(D),"use the composition of two functions, including the necessary restrictions on the domain, to determine if the functions are inverses of each other."
High School,Algebra II,3(A),"formulate systems of equations, including systems consisting of three linear equations in three variables and systems consisting of two equations, the first linear and the second quadratic"
High School,Algebra II,3(B),"solve systems of three linear equations in three variables by using Gaussian elimination, technology with matrices, and substitution"
High School,Algebra II,3(C),"solve, algebraically, systems of two equations in two variables consisting of a linear equation and a quadratic equation"
High School,Algebra II,3(D),determine the reasonableness of solutions to systems of a linear equation and a quadratic equation in two variables
High School,Algebra II,3(E),formulate systems of at least two linear inequalities in two variables
High School,Algebra II,3(F),solve systems of two or more linear inequalities in two variables; and
High School,Algebra II,3(G),determine possible solutions in the solution set of systems of two or more linear inequalities in two variables
High School,Algebra II,4(A),write the quadratic function given three specified points in the plane
High School,Algebra II,4(B),"write the equation of a parabola using given attributes, including vertex, focus, directrix, axis of symmetry, and direction of opening"
High School,Algebra II,4(C),"determine the effect on the graph of f(x) = √x when f(x) is replaced by af(x), f(x) + d, f(bx), and f(x - c) for specific positive and negative values of a, b, c, and d"
High School,Algebra II,4(D),transform a quadratic function f(x) = ax2 + bx + c to the form f(x) = a(x - h)2 + k to identify the different attributes of f(x)
High School,Algebra II,4(E),formulate quadratic and square root equations using technology given a table of data
High School,Algebra II,4(F),solve quadratic and square root equations
High School,Algebra II,4(G),identify extraneous solutions of square root equations; and
High School,Algebra II,4(H),solve quadratic inequalities
High School,Algebra II,5(A),"determine the effects on the key attributes on the graphs of f(x) = bx and f(x) = logb (x) where b is 2, 10, and e when f(x) is replaced by af(x), f(x) + d, and f(x - c) for specific positive and negative real values of a, c, and d"
High School,Algebra II,5(B),"formulate exponential and logarithmic equations that model real-world situations, including exponential relationships written in recursive notation"
High School,Algebra II,5(C),rewrite exponential equations as their corresponding logarithmic equations and logarithmic equations as their corresponding exponential equations
High School,Algebra II,5(D),solve exponential equations of the form y = abx where a is a nonzero real number and b is greater than zero and not equal to one and single logarithmic equations having real solutions;
High School,Algebra II,5(E),determine the reasonableness of a solution to a logarithmic equation
High School,Algebra II,6(A),"analyze the effect on the graphs of f(x) = x3 and f(x) = 3√x when f(x) is replaced by af(x), f(bx), f(x - c), and f(x) + d for specific positive and negative real values of a, b, c, and d"
High School,Algebra II,6(B),solve cube root equations that have real roots
High School,Algebra II,6(C),"analyze the effect on the graphs of f(x) = |x| when f(x) is replaced by af(x), f(bx), f(x-c), and f(x) + d for specific positive and negative real values of a, b, c, and d"
High School,Algebra II,6(D),formulate absolute value linear equations
High School,Algebra II,6(E),solve absolute value linear equations
High School,Algebra II,6(F),solve absolute value linear inequalities
High School,Algebra II,6(G),"analyze the effect on the graphs of f(x) = 1/x when f(x) is replaced by af(x), f(bx), f(x-c), and f(x) + d for specific positive and negative real values of a, b, c, and d"
High School,Algebra II,6(H),formulate rational equations that model real-world situations
High School,Algebra II,6(I),solve rational equations that have real solutions
High School,Algebra II,6(J),determine the reasonableness of a solution to a rational equation
High School,Algebra II,6(K),"determine the asymptotic restrictions on the domain of a rational function and represent domain and range using interval notation, inequalities, and set notation; and"
High School,Algebra II,6(L),formulate and solve equations involving inverse variation
High School,Algebra II,7(A),"add, subtract, and multiply complex numbers"
High School,Algebra II,7(B),"add, subtract, and multiply polynomials"
High School,Algebra II,7(C),determine the quotient of a polynomial of degree three and of degree four when divided by a polynomial of degree one and of degree two
High School,Algebra II,7(D),determine the linear factors of a polynomial function of degree three and of degree four using algebraic methods
High School,Algebra II,7(E),"determine linear and quadratic factors of a polynomial expression of degree three and of degree four, including factoring the sum and difference of two cubes and factoring by grouping"
High School,Algebra II,7(F),"determine the sum, difference, product, and quotient of rational expressions with integral exponents of degree one and of degree two"
High School,Algebra II,7(G),rewrite radical expressions that contain variables to equivalent forms
High School,Algebra II,7(H),solve equations involving rational exponents; and
High School,Algebra II,7(I),"write the domain and range of a function in interval notation, inequalities, and set notation"
High School,Algebra II,8(A),"analyze data to select the appropriate model from among linear, quadratic, and exponential models;"
High School,Algebra II,8(B),"use regression methods available through technology to write a linear function, a quadratic function, and an exponential function from a given set of data; and"
High School,Algebra II,8(C),"predict and make decisions and critical judgments from a given set of data using linear, quadratic, and exponential models"
High School,Anatomy and Physiology,1(A),"ask questions and define problems based on observations or information from text, phenomena, models, or investigations"
High School,Anatomy and Physiology,1(B),"apply scientific practices to plan and conduct descriptive, comparative, and experimental investigations and use engineering practices to design solutions to problems"
High School,Anatomy and Physiology,1(C),"use appropriate safety equipment and practices during laboratory, classroom, and field investigations as outlined in Texas Education Agency-approved safety standards"
High School,Anatomy and Physiology,1(D),"use appropriate tools such as lab notebooks or journals, calculators, spreadsheet software, data-collecting probes, computers, standard laboratory glassware, microscopes, various prepared slides, stereoscopes, metric rulers, meter sticks, electronic balances, micro pipettors, hand lenses, Celsius thermometers, hot plates, timing devices, Petri dishes, agar, lab incubators, dissection equipment, reflex hammers, pulse oximeters, stethoscope, otoscope, blood pressure monitors (sphygmomanometers), pen lights, ultrasound equipment, and models, diagrams, or samples of biological specimens or structures"
High School,Anatomy and Physiology,1(E),collect quantitative data using the International System of Units (SI) and United States customary units and qualitative data as evidence
High School,Anatomy and Physiology,1(F),"organize quantitative and qualitative data using lab reports, labeled drawings, graphic organizers, journals, summaries, oral reports, and technology-based reports"
High School,Anatomy and Physiology,1(G),"develop and use models to represent phenomena, systems, processes, or solutions to engineering problems; and"
High School,Anatomy and Physiology,1(H),"distinguish among scientific hypotheses, theories, and laws"
High School,Anatomy and Physiology,2(A),"identify advantages and limitations of models such as their size, scale, properties, and materials"
High School,Anatomy and Physiology,2(B),"analyze data by identifying significant statistical features, patterns, sources of error, and limitations"
High School,Anatomy and Physiology,2(C),use mathematical calculations to assess quantitative relationships in data; and
High School,Anatomy and Physiology,2(D),evaluate experimental and engineering designs
High School,Anatomy and Physiology,3(A),"develop explanations and propose solutions supported by data and models and consistent with scientific ideas, principles, and theories"
High School,Anatomy and Physiology,3(B),communicate explanations and solutions individually and collaboratively in a variety of settings and formats; and
High School,Anatomy and Physiology,3(C),engage respectfully in scientific argumentation using applied scientific explanations and empirical evidence
High School,Anatomy and Physiology,4(A),"analyze, evaluate, and critique scientific explanations and solutions by using empirical evidence, logical reasoning, and experimental and observational testing, so as to encourage critical thinking by the student"
High School,Anatomy and Physiology,4(B),"relate the impact of past and current research on scientific thought and society, including research methodology, cost-benefit analysis, and contributions of diverse scientists and engineers as related to the content; and"
High School,Anatomy and Physiology,4(C),"research and explore resources such as museums, libraries, professional organizations, private companies, online platforms, and mentors employed in a science, technology, engineering, and mathematics (STEM) or health science field in order to investigate careers"
High School,Anatomy and Physiology,5(A),"distinguish between the six levels of structural organization in the human body, including chemical, cellular, tissue, organ, system, and organism, and explain their interdependence"
High School,Anatomy and Physiology,5(B),"identify and use appropriate directional terminology when referring to the human body, including directional terms, planes, body cavities, and body quadrants"
High School,Anatomy and Physiology,5(C),"identify and describe the major characteristics of living organisms, including response to stimuli, growth and development, homeostasis, cellular composition, metabolism, reproduction, and the ability to adapt to the environment"
High School,Anatomy and Physiology,5(D),research and describe negative and positive feedback loops as they apply to homeostasis; and
High School,Anatomy and Physiology,5(E),research and identify the effects of the failure to maintain homeostasis as it relates to common diseases in each of the body systems
High School,Anatomy and Physiology,6(A),"define tissue and identify the four primary tissue types, their subdivisions, and functions"
High School,Anatomy and Physiology,6(B),compare epithelial tissue and connective tissue in terms of cell arrangement and interstitial materials
High School,Anatomy and Physiology,6(C),describe the process of tissue repair involved in the normal healing of a superficial wound; and
High School,Anatomy and Physiology,6(D),"describe the general metabolic pathways of carbohydrates, lipids, and proteins"
High School,Anatomy and Physiology,7(A),identify and differentiate between the axial skeleton and appendicular skeleton
High School,Anatomy and Physiology,7(B),"identify the types of joints, including gliding, hinge, pivot, saddle, and ball and socket, and describe the movements of each"
High School,Anatomy and Physiology,7(C),"identify and locate the anatomy of bone, including spongy and compact tissue, epiphysis, diaphysis, medullary cavity, periosteum, bone marrow, and endosteum"
High School,Anatomy and Physiology,7(D),explain the major physiological functions of the skeletal system
High School,Anatomy and Physiology,7(E),"describe the role of osteoblasts, osteocytes, and osteoclasts in bone growth and repair"
High School,Anatomy and Physiology,7(F),"identify and describe the different types of fractures such as compound, complete, simple, spiral, greenstick, hairline, transverse, and comminuted; and"
High School,Anatomy and Physiology,7(G),"identify and describe common diseases and disorders of the skeletal system such as scoliosis, osteoporosis, and bone cancer"
High School,Anatomy and Physiology,8(A),"identify and describe the structures of the integumentary system, including layers of the skin, accessory organs within each layer, and glandular components in each layer"
High School,Anatomy and Physiology,8(B),describe the factors that can contribute to skin color
High School,Anatomy and Physiology,8(C),describe and explain the process of tissue repair and scar formation; and
High School,Anatomy and Physiology,8(D),identify and describe common diseases and disorders of the integumentary system such as skin cancer and psoriasis
High School,Anatomy and Physiology,9(A),"explain the major physiological functions of the muscular system, including voluntary movement, involuntary movement, heat production, and maintaining posture"
High School,Anatomy and Physiology,9(B),"explain the coordination of muscles, bones, and joints that allows movement of the body, including the methods of attachment of ligaments and tendons"
High School,Anatomy and Physiology,9(C),"examine common characteristics of muscle tissue, including excitability, contractibility, extensibility, and elasticity"
High School,Anatomy and Physiology,9(D),"identify and describe the appearance, innervation, and function of the three muscle types, including cardiac, skeletal, and smooth"
High School,Anatomy and Physiology,9(E),"examine the microscopic anatomy of a muscle fiber, including sarcomere, actin, and myosin"
High School,Anatomy and Physiology,9(F),describe the mechanisms of muscle contraction at the neuromuscular junction
High School,Anatomy and Physiology,9(G),"name, locate, and describe the action of major voluntary muscles in regions of the body, including the head and neck, trunk, upper extremity, and lower extremity"
High School,Anatomy and Physiology,9(H),identify and describe common diseases and disorders of the muscular system such as muscle strains and muscular dystrophy; and
High School,Anatomy and Physiology,9(I),"analyze and describe the effects of pressure, movement, torque, tension, and elasticity on the human body"
High School,Anatomy and Physiology,10(A),"summarize and distinguish between the major physiological functions of the nervous system, including sensation, integration, and motor response"
High School,Anatomy and Physiology,10(B),identify the senses and explain their relationship to nervous system
High School,Anatomy and Physiology,10(C),"investigate and explain the interdependence between the cranial and spinal nerves with the special senses of vision, hearing, smell, and taste"
High School,Anatomy and Physiology,10(D),"describe the anatomy of the structures associated with the senses, including vision, hearing, smell, taste, and touch"
High School,Anatomy and Physiology,10(E),identify the anatomical and physiological divisions of the peripheral nervous system and central nervous system
High School,Anatomy and Physiology,10(F),explain the glial cells within the central nervous system and peripheral nervous system and their associated functions
High School,Anatomy and Physiology,10(G),analyze the functional and structural differences between gray and white matter relative to neurons
High School,Anatomy and Physiology,10(H),distinguish between the types of neurons and explain the initiation of a nerve impulse during resting and action potential
High School,Anatomy and Physiology,10(I),categorize the major neurotransmitters by chemical and physical mechanisms; and
High School,Anatomy and Physiology,10(J),"identify and describe common diseases and disorders of the nervous system such as epilepsy, neuralgia, Parkinson's disease, and Alzheimer's disease"
High School,Anatomy and Physiology,11(A),"identify and locate the nine glands associated with the endocrine system, including the ovaries, testes, pineal gland, pituitary gland, thyroid gland, parathyroid glands, thymus, pancreas, and adrenal glands"
High School,Anatomy and Physiology,11(B),compare and contrast endocrine and exocrine glands and identify the glands associated with each
High School,Anatomy and Physiology,11(C),describe the hormones associated with each endocrine gland
High School,Anatomy and Physiology,11(D),research the impact of the endocrine systems on homeostatic mechanisms and other body systems such as the integration between the hypothalamus and the pituitary gland
High School,Anatomy and Physiology,11(E),"explain how the endocrine glands are regulated, including neural, hormonal, and humoral control; and"
High School,Anatomy and Physiology,11(F),"identify and describe common diseases and disorders of the endocrine system such as hypothyroidism, pancreatic cancer, and diabetes"
High School,Anatomy and Physiology,12(A),"identify and describe the anatomical structures and functions of the urinary system, including the kidney, ureters, bladder, and urethra"
High School,Anatomy and Physiology,12(B),compare and contrast the anatomical structures and describe the functions of the male and female urinary system
High School,Anatomy and Physiology,12(C),"summarize and illustrate the structures, functions, and types of nephrons"
High School,Anatomy and Physiology,12(D),"examine the methods of fluid balance and homeostasis in the urinary system, including fluid intake and output"
High School,Anatomy and Physiology,12(E),"analyze the composition of urine and the process of urine formation, including filtration, reabsorption, and secretion"
High School,Anatomy and Physiology,12(F),"describe the relationship between the nervous system, renal system, and muscular system before and during micturition; and"
High School,Anatomy and Physiology,12(G),"identify and describe common diseases and disorders of the urinary system such as chronic kidney disease, kidney stones, urinary tract infections, and renal cancer"
High School,Anatomy and Physiology,13(A),"identify the major functions of the cardiovascular system, including transport, maintaining homeostasis, and immune response"
High School,Anatomy and Physiology,13(B),"compare and contrast the anatomical structure of arteries, arterioles, capillaries, venules, and veins"
High School,Anatomy and Physiology,13(C),"investigate and illustrate how systemic circulation transports blood, gasses, and nutrients from the heart to the internal anatomy of the heart, including tissue layers, chambers, and valves, and external anatomy of the heart, including coronary vessels"
High School,Anatomy and Physiology,13(D),"describe the relationship between blood flow and blood pressure, including systolic and diastolic pressure, pulse pressure, and mean arterial pressure"
High School,Anatomy and Physiology,13(E),"compare and contrast coronary, pulmonary, and systemic circulation, and describe the major vessels of each"
High School,Anatomy and Physiology,13(F),illustrate how the PQRST waves of an electrocardiogram (EKG) demonstrate the conduction of electricity through the structures of the heart
High School,Anatomy and Physiology,13(G),"describe the relationship between the cardiovascular system, nervous system, and muscular system in regulating cardiac output; and"
High School,Anatomy and Physiology,13(H),"identify and describe common diseases and disorders of the cardiovascular system such as heart disease, myocardial infarction, ischemia, and hypertrophic cardiomyopathy"
High School,Anatomy and Physiology,14(A),evaluate the interaction of the lymphatic system with other body systems such as the circulatory system
High School,Anatomy and Physiology,14(B),describe the structure and function of the lymphatic organs and explain how lymph moves through the body
High School,Anatomy and Physiology,14(C),"identify and describe the role and function of the immune cells, including T cells and B cells, within the lymphatic system structures"
High School,Anatomy and Physiology,14(D),"identify and determine antigens associated with ABO blood typing, including Rhesus (Rh) factor"
High School,Anatomy and Physiology,14(E),"summarize the ways the body protects and defends against disease, including inflammation, barrier defenses, and active and passive immunity"
High School,Anatomy and Physiology,14(F),describe the role of antigens and antibodies in the immune response; and
High School,Anatomy and Physiology,14(G),"identify and describe common diseases and disorders associated with the lymphatic and immune systems such as inherited or acquired immunodeficiencies, autoimmune diseases, and lymphomas"
High School,Anatomy and Physiology,15(A),examine the anatomical structures and function of the alimentary canal and accessory organs
High School,Anatomy and Physiology,15(B),compare and contrast mechanical and chemical digestive processes
High School,Anatomy and Physiology,15(C),"evaluate the modes by which energy is processed and stored within the body, including ingestion, propulsion, absorption, and elimination; and"
High School,Anatomy and Physiology,15(D),"identify and describe common diseases and disorders of the digestive system such as gallstones, Crohn's disease, irritable bowel syndrome, and gastroesophageal reflux disorder"
High School,Anatomy and Physiology,16(A),identify and sequence the anatomical structures and functions of the respiratory system
High School,Anatomy and Physiology,16(B),compare and contrast the functions of upper and lower respiratory tract
High School,Anatomy and Physiology,16(C),"describe the physiology of respiration, including internal and external respiration and gas exchange"
High School,Anatomy and Physiology,16(D),describe the relationship between the respiratory and cardiovascular systems during pulmonary circulation
High School,Anatomy and Physiology,16(E),"investigate factors that affect respiration, including exercise and environmental changes such as altitude; and"
High School,Anatomy and Physiology,16(F),"identify and describe common diseases of the respiratory system such as asthma, emphysema, pneumonia, viruses, and allergies"
High School,Anatomy and Physiology,17(A),"explain embryological development of cells, tissues, organs, and systems"
High School,Anatomy and Physiology,17(B),"describe and examine the location, structure, and functions of the internal and external female and male reproductive organs and accessory glands"
High School,Anatomy and Physiology,17(C),describe and compare the process of oogenesis and spermatogenesis
High School,Anatomy and Physiology,17(D),research and discuss the physiological effects of hormones on the stages of the menstrual cycle
High School,Anatomy and Physiology,17(E),"identify and distinguish the hormones involved in maturation and development throughout the life cycle, including puberty, gestation, and menopause; and"
High School,Anatomy and Physiology,17(F),identify and describe common diseases and disorders of the reproductive system such as sexually transmitted diseases and cancers of the female and male reproductive systems
High School,Anatomy and Physiology,18(A),research and discuss advances in science and medicine at the organ and tissue level such as bionics and wearable monitoring technologies; and
High School,Anatomy and Physiology,18(B),research and describe advances in science and medicine at the cellular level such as stem cells and gene therapy
High School,Aquatic Science,1(A),"ask questions and define problems based on observations or information from text, phenomena, models, or investigations"
High School,Aquatic Science,1(B),"apply scientific practices to plan and conduct descriptive, comparative, and experimental investigations and use engineering practices to design solutions to problems"
High School,Aquatic Science,1(C),"use appropriate safety equipment and practices during laboratory, classroom, and field investigations as outlined in Texas Education Agency-approved safety standards"
High School,Aquatic Science,1(D),"use appropriate tools such as Global Positioning System (GPS), Geographic Information System (GIS), weather balloons, buoys, water testing kits, meter sticks, metric rulers, pipettes, graduated cylinders, standard laboratory glassware, balances, timing devices, pH meters or probes, various data collecting probes, thermometers, calculators, computers, internet access, turbidity testing devices, hand magnifiers, work and disposable gloves, compasses, first aid kits, field guides, water quality test kits or probes, 30-meter tape measures, tarps, ripple tanks, trowels, screens, buckets, sediment samples equipment, cameras, flow meters, cast nets, kick nets, seines, computer models, spectrophotometers, stereomicroscopes, compound microscopes, clinometers, and field journals, various prepared slides, hand lenses, hot plates, Petri dishes, sampling nets, waders, leveling grade rods (Jason sticks), protractors, inclination and height distance calculators, samples of biological specimens or structures, core sampling equipment, fish tanks and associated supplies, and hydrometers"
High School,Aquatic Science,1(E),collect quantitative data using the International System of Units (SI) and qualitative data as evidence
High School,Aquatic Science,1(F),"organize quantitative and qualitative data using probeware, spreadsheets, lab notebooks or journals, models, diagrams, graphs paper, computers, or cellphone applications"
High School,Aquatic Science,1(G),"develop and use models to represent phenomena, systems, processes, or solutions to engineering problems; and"
High School,Aquatic Science,1(H),"distinguish between scientific hypotheses, theories, and laws"
High School,Aquatic Science,2(A),"identify advantages and limitations of models such as their size, scale, properties, and materials"
High School,Aquatic Science,2(B),"analyze data by identifying significant statistical features, patterns, sources of error, and limitations"
High School,Aquatic Science,2(C),use mathematical calculations to assess quantitative relationships in data; and
High School,Aquatic Science,2(D),evaluate experimental and engineering designs
High School,Aquatic Science,3(A),"develop explanations and propose solutions supported by data and models consistent with scientific ideas, principles, and theories"
High School,Aquatic Science,3(B),communicate explanations and solutions individually and collaboratively in a variety of settings and formats; and
High School,Aquatic Science,3(C),engage respectfully in scientific argumentation using applied scientific explanations and empirical evidence
High School,Aquatic Science,4(A),"analyze, evaluate, and critique scientific explanations and solutions by using empirical evidence, logical reasoning, and experimental and observational testing, so as to encourage critical thinking by the student"
High School,Aquatic Science,4(B),"relate the impact of past and current research on scientific thought and society, including research methodology, cost-benefit analysis, and contributions of diverse scientists as related to the content; and"
High School,Aquatic Science,4(C),"research and explore resources such as museums, planetariums, observatories, libraries, professional organizations, private companies, online platforms, and mentors employed in a science, technology, engineering, and mathematics (STEM) field in order to investigate STEM careers"
High School,Aquatic Science,5(A),"use appropriate tools such as Global Positioning System (GPS), Geographic Information System (GIS), weather balloons, buoys, water testing kits, meter sticks, metric rulers, pipettes, graduated cylinders, standard laboratory glassware, balances, timing devices, pH meters or probes, various data collecting probes, thermometers, calculators, computers, internet access, turbidity testing devices, hand magnifiers, work and disposable gloves, compasses, first aid kits, field guides, water quality test kits or probes, 30-meter tape measures, tarps, ripple tanks, trowels, screens, buckets, sediment samples equipment, cameras, flow meters, cast nets, kick nets, seines, computer models, spectrophotometers, stereomicroscopes, compound microscopes, clinometers, and field journals, various prepared slides, hand lenses, hot plates, Petri dishes, sampling nets, waders, leveling grade rods (Jason sticks), protractors, inclination and height distance calculators, samples of biological specimens or structures, core sampling equipment, fish tanks and associated supplies, and hydrometers"
High School,Aquatic Science,5(B),"identify how aquatic ecosystems are affected by water's properties of adhesion, cohesion, surface tension, heat capacity, and thermal conductivity; and"
High School,Aquatic Science,5(C),explain how the density of water is critical for organisms in cold environments
High School,Aquatic Science,6(A),"identify key features and characteristics of atmospheric, geological, hydrological, and biological systems as they relate to aquatic environments"
High School,Aquatic Science,6(B),"describe the interrelatedness of atmospheric, geological, hydrological, and biological systems in aquatic ecosystems, including positive and negative feedback loops; and"
High School,Aquatic Science,6(C),"evaluate environmental data using technology such as maps, visualizations, satellite data, Global Positioning System (GPS), Geographic Information System (GIS), weather balloons, and buoys to model the interactions that affect aquatic ecosystems"
High School,Aquatic Science,7(A),"identify how energy flows and matter cycles through both freshwater and marine aquatic systems, including food webs, chains, and pyramids"
High School,Aquatic Science,7(B),"identify biological, chemical, geological, and physical components of an aquatic life zone as they relate to the organisms in it"
High School,Aquatic Science,7(C),identify variables that affect the solubility of carbon dioxide and oxygen in water
